ROUTE,DIR,period,STOP,StopAbbr,StopName,Timepoint,NodeAbbr,Lon,Lat,Avgmph,Avgmphdwell
223,1,off-peak,67,127024,Wakara Way / Arapeen Dr (WB),FALSE,,-111.830588,40.757651,18.00,17.87
223,1,off-peak,68,127063,Wakara Way / Komas Dr (WB),FALSE,,-111.832363,40.756167,16.50,16.50
223,1,off-peak,69,127127,Foothill Dr / Wakara Way (NB),FALSE,,-111.833925,40.755659,20.58,20.47
223,1,off-peak,70,127128,Mario Capecchi Dr / Pollock Rd (NB),FALSE,,-111.834827,40.758448,23.80,23.53
223,1,off-peak,71,127129,Mario Capecchi / Research Rd (NB),FALSE,MARCAP50,-111.834688,40.759914,17.01,14.46
223,1,off-peak,72,127130,Mario Capecchi / South Campus (NB),FALSE,,-111.835721,40.76312,24.57,24.38
223,1,off-peak,73,127131,Mario Capecchi Dr / 1900 E (NB),FALSE,,-111.837144,40.768715,15.95,13.22
223,1,off-peak,74,127256,U Medical Center Station (NB),FALSE,MEDCTRNB,-111.839059,40.770173,13.08,4.45
223,1,off-peak,75,118163,Mario Capecchi / North Campus (NB),FALSE,,-111.840466,40.77193,6.19,6.19
223,1,off-peak,76,118159,North Campus / Federal Heights (WB),FALSE,,-111.842451,40.772482,22.17,22.17
223,1,off-peak,77,101937,U Warnock Engineering Building (SB),FALSE,,-111.844316,40.767253,14.61,14.61
223,1,off-peak,78,BB101934,U Union Building (Bay D),TRUE,U.U.CTRL,-111.844956,40.764428,0.00,0.00
223,1,pm peak,1,155148,Cottonwood Pkwy @ 2955 E,TRUE,29-E6580,-111.808666,40.632237,7.25,5.89
223,1,pm peak,2,155163,3000 E @ 6425 S,FALSE,,-111.805931,40.634191,8.28,8.22
223,1,pm peak,3,155057,Holladay Blvd @ 6175 S,TRUE,,-111.811827,40.639415,28.92,28.92
223,1,pm peak,4,155058,Holladay Blvd @ 5997 S,FALSE,,-111.811843,40.641017,35.89,35.89
223,1,pm peak,5,155060,Holladay Blvd @ 5881 S,FALSE,,-111.811846,40.644501,40.76,40.50
223,1,pm peak,6,155062,Holladay Blvd @ 5701 S,FALSE,,-111.811862,40.647623,37.05,37.05
223,1,pm peak,7,155063,Holladay Blvd @ 5571 S,FALSE,,-111.811848,40.649953,36.76,36.76
223,1,pm peak,8,155064,Holladay Blvd @ 5451 S,FALSE,62-SHOLL,-111.812495,40.651801,35.74,35.74
223,1,pm peak,9,155065,Holladay Blvd @ 5385 S,FALSE,,-111.813597,40.653541,30.74,28.66
223,1,pm peak,10,155066,Holladay Blvd @ 5277 S,FALSE,,-111.815359,40.655507,30.70,30.70
223,1,pm peak,11,155068,Holladay Blvd @ 4963 S,FALSE,,-111.819075,40.661288,28.04,27.94
223,1,pm peak,12,155165,Holladay Blvd @ 4833 S,FALSE,,-111.819696,40.664234,29.21,29.21
223,1,pm peak,13,138088,Holladay Blvd @ 4797 S,FALSE,,-111.820766,40.665171,17.63,16.08
223,1,pm peak,14,198182,2300 E @ 4657 S,FALSE,,-111.82454,40.669147,19.86,18.94
223,1,pm peak,15,198006,2300 E @ 4629 S,FALSE,,-111.82449,40.670508,18.25,18.19
223,1,pm peak,16,138104,2300 E @ 4551 S,FALSE,45-S23-E,-111.824461,40.672494,14.72,14.71
223,1,pm peak,17,198305,2300 E @ 4433 S,TRUE,45-S23-E,-111.824446,40.6753,31.50,31.50
223,1,pm peak,18,138107,2300 E @ 4279 S,FALSE,,-111.824444,40.678488,31.26,31.26
223,1,pm peak,19,138108,2300 E @ 4185 S,FALSE,,-111.824441,40.680496,25.82,24.51
223,1,pm peak,20,138121,2300 E @ 4093 S,FALSE,,-111.824436,40.682603,25.11,24.73
223,1,pm peak,21,138123,2300 E @ 4001 S,FALSE,,-111.824429,40.685071,12.98,11.88
223,1,pm peak,22,138124,2300 E @ 3883 S,TRUE,39-S23-E,-111.82439,40.687509,21.57,21.57
223,1,pm peak,23,138125,2300 E @ 3779 S,FALSE,,-111.824388,40.688883,32.17,32.17
223,1,pm peak,24,198181,2300 E @ 3663 S,FALSE,,-111.824419,40.691269,34.29,34.11
223,1,pm peak,25,138129,2300 E @ 3545 S,FALSE,,-111.824417,40.694291,25.28,25.20
223,1,pm peak,26,138130,2300 E @ 3431 S,FALSE,,-111.824417,40.696968,22.54,21.80
223,1,pm peak,27,138131,2300 E @ 3375 S,FALSE,33-S23-E,-111.824383,40.698661,4.49,4.35
223,1,pm peak,28,138162,3300 S @ 2285 E,TRUE,33-S23-E,-111.825293,40.699941,23.33,23.33
223,1,pm peak,29,138305,3300 S @ 2201 E,FALSE,,-111.827299,40.699946,29.72,29.72
223,1,pm peak,30,138163,3300 S @ 2103 E,FALSE,,-111.831151,40.699945,24.23,23.84
223,1,pm peak,31,138164,3300 S @ 2035 E,FALSE,,-111.832888,40.699958,15.48,15.46
223,1,pm peak,32,138001,2000 E @ 3207 S,FALSE,,-111.834006,40.701146,32.90,32.90
223,1,pm peak,33,138002,2000 E @ 3175 S,FALSE,,-111.834013,40.702003,30.15,30.15
223,1,pm peak,34,138003,2000 E @ 3079 S,FALSE,,-111.834019,40.704326,34.55,33.95
223,1,pm peak,35,138004,2000 E @ 2989 S,FALSE,,-111.834011,40.706009,32.27,32.27
223,1,pm peak,36,138005,2000 E @ 2939 S,FALSE,,-111.834023,40.707212,24.07,24.07
223,1,pm peak,37,101298,2000 E @ 2831 S,FALSE,,-111.834025,40.709514,25.58,25.58
223,1,pm peak,38,138007,2000 E @ 2741 S,FALSE,,-111.834027,40.711692,14.70,13.68
223,1,pm peak,39,101225,2700 S @ 1959 E,TRUE,27-S20-E,-111.835072,40.712798,19.85,19.78
223,1,pm peak,40,101226,2700 S @ 1851 E,FALSE,,-111.838195,40.71279,21.78,21.78
223,1,pm peak,41,137282,1700 E @ 2689 S,FALSE,,-111.842047,40.713139,16.42,16.13
223,1,pm peak,42,101227,1700 E @ 2501 S,FALSE,,-111.842073,40.717236,27.27,25.97
223,1,pm peak,43,126743,1700 E @ 2107 S,TRUE,21-S17-E,-111.842077,40.725308,15.85,15.13
223,1,pm peak,44,126351,1700 E @ 2005 S,FALSE,,-111.842201,40.726626,19.32,19.32
223,1,pm peak,45,126352,1700 E @ 1933 S,FALSE,,-111.842195,40.728105,16.12,15.19
223,1,pm peak,46,126353,1700 E @ 1855 S,FALSE,,-111.842192,40.73018,16.68,16.50
223,1,pm peak,47,101299,1700 E @ 1797 S,FALSE,,-111.842216,40.731274,11.11,7.71
223,1,pm peak,48,126355,1700 E @ 1709 S,TRUE,17-S17-E,-111.842178,40.733377,14.05,14.05
223,1,pm peak,49,101258,1700 S @ 1788 E,FALSE,,-111.839478,40.733572,16.26,16.20
223,1,pm peak,50,101351,1900 E @ 1619 S,FALSE,,-111.836409,40.734129,20.16,20.16
223,1,pm peak,51,127164,1900 E @ 1575 S,FALSE,,-111.836449,40.735283,20.01,20.01
223,1,pm peak,52,127747,1900 E @ 1435 S,FALSE,,-111.836458,40.738198,19.35,18.95
223,1,pm peak,53,127073,1900 E @ 1295 S,FALSE,,-111.836468,40.742066,21.47,21.30
223,1,pm peak,54,127237,1900 E @ 1119 S,FALSE,,-111.836467,40.744478,22.35,22.35
223,1,pm peak,55,127075,1900 E @ 1061 S,FALSE,,-111.836474,40.745943,17.67,17.38
223,1,pm peak,56,127076,1900 E @ 991 S,FALSE,,-111.836469,40.747654,11.95,10.85
223,1,pm peak,57,127077,1900 E @ 901 S,TRUE,9--S19-E,-111.836469,40.749641,10.42,10.23
223,1,pm peak,58,127007,Sunnyside Ave @ 2134 E,FALSE,,-111.829702,40.750681,10.89,10.75
223,1,pm peak,59,127015,Arapeen Dr / Sunnyside Ave (NB),FALSE,,-111.826559,40.751272,23.08,22.32
223,1,pm peak,60,127016,Arapeen Dr / Komas Dr (NB),FALSE,,-111.826551,40.753432,22.32,22.32
223,1,pm peak,61,127017,Arapeen Dr / Chipeta Way (NB),FALSE,,-111.826562,40.755308,18.62,17.24
223,1,pm peak,62,127018,Chipeta Way / Colorow Way (NB),FALSE,,-111.824513,40.756808,18.30,17.66
223,1,pm peak,63,127039,Chipeta Way / Tabby Ln (NB),FALSE,,-111.824292,40.759351,19.98,19.89
223,1,pm peak,64,127020,Chipeta Way / 450 S (NB),TRUE,CHIPETA,-111.825719,40.760801,12.64,11.49
223,1,pm peak,65,127021,Wakara Way / Chipeta Way (WB),FALSE,CHIPETA,-111.827046,40.761293,19.17,18.99
223,1,pm peak,66,127023,Wakara Way / 400 S (WB),FALSE,RES PARK,-111.828726,40.759521,15.16,14.31
223,1,pm peak,67,127024,Wakara Way / Arapeen Dr (WB),FALSE,,-111.830588,40.757651,13.53,12.73
223,1,pm peak,68,127063,Wakara Way / Komas Dr (WB),FALSE,,-111.832363,40.756167,7.61,7.40
223,1,pm peak,69,127127,Foothill Dr / Wakara Way (NB),FALSE,,-111.833925,40.755659,19.45,19.43
223,1,pm peak,70,127128,Mario Capecchi Dr / Pollock Rd (NB),FALSE,,-111.834827,40.758448,25.85,24.41
223,1,pm peak,71,127129,Mario Capecchi / Research Rd (NB),FALSE,MARCAP50,-111.834688,40.759914,20.46,17.74
223,1,pm peak,72,127130,Mario Capecchi / South Campus (NB),FALSE,,-111.835721,40.76312,23.12,22.52
223,1,pm peak,73,127131,Mario Capecchi Dr / 1900 E (NB),FALSE,,-111.837144,40.768715,13.57,9.57
223,1,pm peak,74,127256,U Medical Center Station (NB),FALSE,MEDCTRNB,-111.839059,40.770173,10.47,5.52
223,1,pm peak,75,118163,Mario Capecchi / North Campus (NB),FALSE,,-111.840466,40.77193,6.69,6.66
223,1,pm peak,76,118159,North Campus / Federal Heights (WB),FALSE,,-111.842451,40.772482,11.27,10.47
223,1,pm peak,77,101937,U Warnock Engineering Building (SB),FALSE,,-111.844316,40.767253,17.96,16.61
223,1,pm peak,78,BB101934,U Union Building (Bay D),TRUE,U.U.CTRL,-111.844956,40.764428,0.00,0.00
227,0,am peak,1,BB101594,West Valley Central Station (Bay J),TRUE,WVCNTRAX,-111.960223,40.693235,6.61,6.41
227,0,am peak,2,135009,Constitution Blvd @ 3690 S,FALSE,,-111.958133,40.691967,25.77,25.77
227,0,am peak,3,135010,Constitution Blvd @ 3830 S,FALSE,,-111.958117,40.688595,31.27,31.18
227,0,am peak,4,135011,Constitution Blvd @ 3950 S,FALSE,,-111.958111,40.685837,16.98,16.96
227,0,am peak,5,101794,2700 W @ 4184 S,FALSE,,-111.958114,40.680045,31.82,26.13
227,0,am peak,6,101795,2700 W @ 4346 S,FALSE,STATOFFC,-111.958137,40.676265,29.23,29.16
227,0,am peak,7,101796,2700 W @ 4510 S,FALSE,,-111.958091,40.670821,22.51,18.51
227,0,am peak,8,198009,2700 W @ 4726 S,FALSE,,-111.958144,40.667016,21.91,21.91
227,0,am peak,9,101784,2700 W @ 4854 S,FALSE,,-111.958111,40.663868,34.61,34.61
227,0,am peak,10,101786,2700 W @ 4998 S,FALSE,,-111.958087,40.660831,36.77,36.77
227,0,am peak,11,101788,2700 W @ 5300 S,FALSE,,-111.958041,40.655014,12.20,12.19
227,0,am peak,12,152001,2700 W @ 5410 S,TRUE,54-S27-W,-111.957986,40.652618,24.57,24.57
227,0,am peak,13,152002,2700 W @ 5514 S,FALSE,,-111.957966,40.650851,35.42,34.93
227,0,am peak,14,152003,2700 W @ 5730 S,FALSE,,-111.957952,40.647392,35.60,33.30
227,0,am peak,15,152005,2700 W @ 5928 S,FALSE,,-111.957964,40.643738,26.49,26.49
227,0,am peak,16,152006,2700 W @ 6102 S,FALSE,,-111.957957,40.639973,18.76,18.29
227,0,am peak,17,152007,2700 W @ 6210 S,FALSE,62-S27-W,-111.957946,40.637777,29.39,29.39
227,0,am peak,18,152009,2700 W @ 6400 S,FALSE,,-111.957942,40.635104,34.19,32.26
227,0,am peak,19,152010,2700 W @ 6538 S,FALSE,,-111.957943,40.632919,28.48,25.02
227,0,am peak,20,152011,2700 W @ 6694 S,FALSE,,-111.957941,40.629804,24.85,23.73
227,0,am peak,21,152012,2700 W @ 6800 S,FALSE,,-111.957931,40.628105,22.83,21.77
227,0,am peak,22,152013,2700 W @ 6900 S,FALSE,,-111.957925,40.626037,18.18,16.76
227,0,am peak,23,152014,2700 W @ 7022 S,TRUE,70-S27-W,-111.957922,40.623654,27.98,27.83
227,0,am peak,24,198412,2700 W @ 7346 S,FALSE,,-111.957884,40.617617,34.42,32.78
227,0,am peak,25,152018,2700 W @ 7520 S,FALSE,,-111.957897,40.614483,19.25,19.19
227,0,am peak,26,171002,2700 W @ 7810 S,FALSE,,-111.957911,40.608978,26.85,24.31
227,0,am peak,27,101885,2700 W @ 8000 S,FALSE,,-111.957898,40.605413,13.54,3.21
227,0,am peak,28,BB101865,Sugar Factory Road Station (Bay B),TRUE,SGFACTRD,-111.956858,40.599229,0.00,0.00
227,0,midday,1,BB101594,West Valley Central Station (Bay J),TRUE,WVCNTRAX,-111.960223,40.693235,7.14,7.01
227,0,midday,2,135009,Constitution Blvd @ 3690 S,FALSE,,-111.958133,40.691967,26.76,26.74
227,0,midday,3,135010,Constitution Blvd @ 3830 S,FALSE,,-111.958117,40.688595,34.99,34.36
227,0,midday,4,135011,Constitution Blvd @ 3950 S,FALSE,,-111.958111,40.685837,23.39,23.04
227,0,midday,5,101794,2700 W @ 4184 S,FALSE,,-111.958114,40.680045,35.25,34.10
227,0,midday,6,101795,2700 W @ 4346 S,FALSE,STATOFFC,-111.958137,40.676265,34.65,34.33
227,0,midday,7,101796,2700 W @ 4510 S,FALSE,,-111.958091,40.670821,21.46,17.95
227,0,midday,8,198009,2700 W @ 4726 S,FALSE,,-111.958144,40.667016,24.13,23.35
227,0,midday,9,101784,2700 W @ 4854 S,FALSE,,-111.958111,40.663868,35.17,34.34
227,0,midday,10,101786,2700 W @ 4998 S,FALSE,,-111.958087,40.660831,35.93,35.47
227,0,midday,11,101788,2700 W @ 5300 S,FALSE,,-111.958041,40.655014,12.79,11.51
227,0,midday,12,152001,2700 W @ 5410 S,TRUE,54-S27-W,-111.957986,40.652618,21.18,21.18
227,0,midday,13,152002,2700 W @ 5514 S,FALSE,,-111.957966,40.650851,36.17,36.07
227,0,midday,14,152003,2700 W @ 5730 S,FALSE,,-111.957952,40.647392,37.91,37.17
227,0,midday,15,152005,2700 W @ 5928 S,FALSE,,-111.957964,40.643738,33.39,31.75
227,0,midday,16,152006,2700 W @ 6102 S,FALSE,,-111.957957,40.639973,16.72,16.72
227,0,midday,17,152007,2700 W @ 6210 S,FALSE,62-S27-W,-111.957946,40.637777,31.81,31.44
227,0,midday,18,152009,2700 W @ 6400 S,FALSE,,-111.957942,40.635104,35.25,34.34
227,0,midday,19,152010,2700 W @ 6538 S,FALSE,,-111.957943,40.632919,35.48,35.37
227,0,midday,20,152011,2700 W @ 6694 S,FALSE,,-111.957941,40.629804,34.21,33.35
227,0,midday,21,152012,2700 W @ 6800 S,FALSE,,-111.957931,40.628105,25.69,23.79
227,0,midday,22,152013,2700 W @ 6900 S,FALSE,,-111.957925,40.626037,12.74,12.44
227,0,midday,23,152014,2700 W @ 7022 S,TRUE,70-S27-W,-111.957922,40.623654,27.41,27.41
227,0,midday,24,198412,2700 W @ 7346 S,FALSE,,-111.957884,40.617617,37.16,33.46
227,0,midday,25,152018,2700 W @ 7520 S,FALSE,,-111.957897,40.614483,20.87,20.28
227,0,midday,26,171002,2700 W @ 7810 S,FALSE,,-111.957911,40.608978,28.34,28.04
227,0,midday,27,101885,2700 W @ 8000 S,FALSE,,-111.957898,40.605413,13.19,3.18
227,0,midday,28,BB101865,Sugar Factory Road Station (Bay B),TRUE,SGFACTRD,-111.956858,40.599229,0.00,0.00
227,0,off-peak,1,BB101594,West Valley Central Station (Bay J),TRUE,WVCNTRAX,-111.960223,40.693235,5.89,5.73
227,0,off-peak,2,135009,Constitution Blvd @ 3690 S,FALSE,,-111.958133,40.691967,21.87,21.87
227,0,off-peak,3,135010,Constitution Blvd @ 3830 S,FALSE,,-111.958117,40.688595,31.89,31.23
227,0,off-peak,4,135011,Constitution Blvd @ 3950 S,FALSE,,-111.958111,40.685837,19.89,18.88
227,0,off-peak,5,101794,2700 W @ 4184 S,FALSE,,-111.958114,40.680045,27.39,25.72
227,0,off-peak,6,101795,2700 W @ 4346 S,FALSE,STATOFFC,-111.958137,40.676265,34.80,31.13
227,0,off-peak,7,101796,2700 W @ 4510 S,FALSE,,-111.958091,40.670821,19.17,10.00
227,0,off-peak,8,198009,2700 W @ 4726 S,FALSE,,-111.958144,40.667016,13.29,13.29
227,0,off-peak,9,101784,2700 W @ 4854 S,FALSE,,-111.958111,40.663868,36.57,36.57
227,0,off-peak,10,101786,2700 W @ 4998 S,FALSE,,-111.958087,40.660831,36.18,35.15
227,0,off-peak,11,101788,2700 W @ 5300 S,FALSE,,-111.958041,40.655014,12.23,11.31
227,0,off-peak,12,152001,2700 W @ 5410 S,TRUE,54-S27-W,-111.957986,40.652618,23.51,23.51
227,0,off-peak,13,152002,2700 W @ 5514 S,FALSE,,-111.957966,40.650851,36.52,36.52
227,0,off-peak,14,152003,2700 W @ 5730 S,FALSE,,-111.957952,40.647392,39.08,38.23
227,0,off-peak,15,152005,2700 W @ 5928 S,FALSE,,-111.957964,40.643738,26.59,25.84
227,0,off-peak,16,152006,2700 W @ 6102 S,FALSE,,-111.957957,40.639973,11.06,11.02
227,0,off-peak,17,152007,2700 W @ 6210 S,FALSE,62-S27-W,-111.957946,40.637777,33.30,33.30
227,0,off-peak,18,152009,2700 W @ 6400 S,FALSE,,-111.957942,40.635104,33.93,32.63
227,0,off-peak,19,152010,2700 W @ 6538 S,FALSE,,-111.957943,40.632919,30.51,30.51
227,0,off-peak,20,152011,2700 W @ 6694 S,FALSE,,-111.957941,40.629804,32.71,32.71
227,0,off-peak,21,152012,2700 W @ 6800 S,FALSE,,-111.957931,40.628105,33.67,33.67
227,0,off-peak,22,152013,2700 W @ 6900 S,FALSE,,-111.957925,40.626037,20.90,18.89
227,0,off-peak,23,152014,2700 W @ 7022 S,TRUE,70-S27-W,-111.957922,40.623654,28.45,28.45
227,0,off-peak,24,198412,2700 W @ 7346 S,FALSE,,-111.957884,40.617617,30.81,27.80
227,0,off-peak,25,152018,2700 W @ 7520 S,FALSE,,-111.957897,40.614483,20.36,17.64
227,0,off-peak,26,171002,2700 W @ 7810 S,FALSE,,-111.957911,40.608978,27.81,27.81
227,0,off-peak,27,101885,2700 W @ 8000 S,FALSE,,-111.957898,40.605413,18.64,11.38
227,0,off-peak,28,BB101865,Sugar Factory Road Station (Bay B),TRUE,SGFACTRD,-111.956858,40.599229,0.00,0.00
227,0,pm peak,1,BB101594,West Valley Central Station (Bay J),TRUE,WVCNTRAX,-111.960223,40.693235,6.88,6.49
227,0,pm peak,2,135009,Constitution Blvd @ 3690 S,FALSE,,-111.958133,40.691967,20.07,19.90
227,0,pm peak,3,135010,Constitution Blvd @ 3830 S,FALSE,,-111.958117,40.688595,29.38,28.84
227,0,pm peak,4,135011,Constitution Blvd @ 3950 S,FALSE,,-111.958111,40.685837,20.44,19.29
227,0,pm peak,5,101794,2700 W @ 4184 S,FALSE,,-111.958114,40.680045,27.89,24.10
227,0,pm peak,6,101795,2700 W @ 4346 S,FALSE,STATOFFC,-111.958137,40.676265,24.42,22.56
227,0,pm peak,7,101796,2700 W @ 4510 S,FALSE,,-111.958091,40.670821,9.90,7.90
227,0,pm peak,8,198009,2700 W @ 4726 S,FALSE,,-111.958144,40.667016,20.31,20.24
227,0,pm peak,9,101784,2700 W @ 4854 S,FALSE,,-111.958111,40.663868,36.52,36.17
227,0,pm peak,10,101786,2700 W @ 4998 S,FALSE,,-111.958087,40.660831,31.93,31.69
227,0,pm peak,11,101788,2700 W @ 5300 S,FALSE,,-111.958041,40.655014,8.78,8.63
227,0,pm peak,12,152001,2700 W @ 5410 S,TRUE,54-S27-W,-111.957986,40.652618,23.20,23.20
227,0,pm peak,13,152002,2700 W @ 5514 S,FALSE,,-111.957966,40.650851,37.06,36.59
227,0,pm peak,14,152003,2700 W @ 5730 S,FALSE,,-111.957952,40.647392,35.13,32.04
227,0,pm peak,15,152005,2700 W @ 5928 S,FALSE,,-111.957964,40.643738,24.88,23.15
227,0,pm peak,16,152006,2700 W @ 6102 S,FALSE,,-111.957957,40.639973,10.46,10.35
227,0,pm peak,17,152007,2700 W @ 6210 S,FALSE,62-S27-W,-111.957946,40.637777,28.28,27.84
227,0,pm peak,18,152009,2700 W @ 6400 S,FALSE,,-111.957942,40.635104,34.27,32.89
227,0,pm peak,19,152010,2700 W @ 6538 S,FALSE,,-111.957943,40.632919,34.47,34.47
227,0,pm peak,20,152011,2700 W @ 6694 S,FALSE,,-111.957941,40.629804,34.10,33.22
227,0,pm peak,21,152012,2700 W @ 6800 S,FALSE,,-111.957931,40.628105,27.81,27.81
227,0,pm peak,22,152013,2700 W @ 6900 S,FALSE,,-111.957925,40.626037,16.30,16.25
227,0,pm peak,23,152014,2700 W @ 7022 S,TRUE,70-S27-W,-111.957922,40.623654,29.18,29.11
227,0,pm peak,24,198412,2700 W @ 7346 S,FALSE,,-111.957884,40.617617,35.65,34.78
227,0,pm peak,25,152018,2700 W @ 7520 S,FALSE,,-111.957897,40.614483,13.89,12.76
227,0,pm peak,26,171002,2700 W @ 7810 S,FALSE,,-111.957911,40.608978,24.69,24.53
227,0,pm peak,27,101885,2700 W @ 8000 S,FALSE,,-111.957898,40.605413,16.78,5.95
227,0,pm peak,28,BB101865,Sugar Factory Road Station (Bay B),TRUE,SGFACTRD,-111.956858,40.599229,0.00,0.00
227,1,am peak,1,BB101865,Sugar Factory Road Station (Bay B),TRUE,SGFACTRD,-111.956858,40.599229,12.94,12.94
227,1,am peak,2,101886,2700 W @ 7997 S,FALSE,,-111.957698,40.605312,24.23,23.77
227,1,am peak,3,171053,2700 W @ 7809 S,FALSE,,-111.957707,40.608836,22.75,22.04
227,1,am peak,4,152020,2700 W @ 7531 S,FALSE,,-111.957698,40.614404,30.99,28.74
227,1,am peak,5,198411,2700 W @ 7243 S,FALSE,,-111.95772,40.619271,21.20,20.33
227,1,am peak,6,152103,2700 W @ 6971 S,TRUE,70-S27-W,-111.957715,40.624648,23.54,23.54
227,1,am peak,7,152025,2700 W @ 6867 S,FALSE,,-111.957727,40.626347,31.11,31.11
227,1,am peak,8,152026,2700 W @ 6771 S,FALSE,,-111.957747,40.628211,36.39,36.39
227,1,am peak,9,152027,2700 W @ 6683 S,FALSE,,-111.957756,40.629872,33.40,33.17
227,1,am peak,10,152028,2700 W @ 6549 S,FALSE,,-111.957736,40.632538,33.66,33.00
227,1,am peak,11,152029,2700 W @ 6387 S,FALSE,,-111.957738,40.635089,21.57,21.57
227,1,am peak,12,152031,2700 W @ 6245 S,FALSE,62-S27-W,-111.957746,40.637763,14.81,14.28
227,1,am peak,13,152032,2700 W @ 6055 S,FALSE,,-111.957753,40.641115,27.03,26.12
227,1,am peak,14,152033,2700 W @ 5901 S,FALSE,,-111.957759,40.643932,27.45,27.45
227,1,am peak,15,152034,2700 W @ 5821 S,FALSE,,-111.957764,40.645248,27.70,26.97
227,1,am peak,16,152035,2700 W @ 5737 S,FALSE,,-111.957764,40.646638,24.21,23.82
227,1,am peak,17,152036,2700 W @ 5485 S,FALSE,,-111.957781,40.651344,9.62,9.29
227,1,am peak,18,101789,2700 W @ 5283 S,TRUE,54-S27-W,-111.957745,40.655236,28.73,27.45
227,1,am peak,19,101787,2700 W @ 5075 S,FALSE,,-111.957775,40.659065,29.27,29.27
227,1,am peak,20,101785,2700 W @ 4791 S,FALSE,,-111.957826,40.664652,7.62,7.38
227,1,am peak,21,198008,2700 W @ 4663 S,FALSE,,-111.957848,40.668455,20.60,18.63
227,1,am peak,22,101783,2700 W @ 4521 S,FALSE,,-111.957843,40.670355,31.24,31.03
227,1,am peak,23,101782,2700 W @ 4345 S,FALSE,STATOFFC,-111.957801,40.676332,33.28,31.25
227,1,am peak,24,101781,2700 W @ 4191 S,FALSE,,-111.957847,40.680542,14.83,14.83
227,1,am peak,25,135022,Constitution Blvd @ 4085 S,FALSE,,-111.957834,40.682801,23.69,23.49
227,1,am peak,26,135023,Constitution Blvd @ 4031 S,FALSE,,-111.957898,40.683717,25.19,25.19
227,1,am peak,27,135024,Constitution Blvd @ 3939 S,FALSE,,-111.957891,40.685802,30.06,30.06
227,1,am peak,28,135025,Constitution Blvd @ 3803 S,FALSE,,-111.957885,40.689246,26.52,26.32
227,1,am peak,29,101516,Constitution Blvd @ 3755 S,FALSE,,-111.957859,40.690437,11.13,1.47
227,1,am peak,30,BB101594,West Valley Central Station (Bay J),TRUE,WVCNTRAX,-111.960223,40.693235,0.00,0.00
227,1,midday,1,BB101865,Sugar Factory Road Station (Bay B),TRUE,SGFACTRD,-111.956858,40.599229,12.93,12.73
227,1,midday,2,101886,2700 W @ 7997 S,FALSE,,-111.957698,40.605312,24.78,23.27
227,1,midday,3,171053,2700 W @ 7809 S,FALSE,,-111.957707,40.608836,20.94,19.87
227,1,midday,4,152020,2700 W @ 7531 S,FALSE,,-111.957698,40.614404,31.46,30.55
227,1,midday,5,198411,2700 W @ 7243 S,FALSE,,-111.95772,40.619271,20.34,19.62
227,1,midday,6,152103,2700 W @ 6971 S,TRUE,70-S27-W,-111.957715,40.624648,22.27,22.27
227,1,midday,7,152025,2700 W @ 6867 S,FALSE,,-111.957727,40.626347,31.47,30.93
227,1,midday,8,152026,2700 W @ 6771 S,FALSE,,-111.957747,40.628211,33.31,32.06
227,1,midday,9,152027,2700 W @ 6683 S,FALSE,,-111.957756,40.629872,33.38,32.52
227,1,midday,10,152028,2700 W @ 6549 S,FALSE,,-111.957736,40.632538,31.86,31.31
227,1,midday,11,152029,2700 W @ 6387 S,FALSE,,-111.957738,40.635089,24.73,23.15
227,1,midday,12,152031,2700 W @ 6245 S,FALSE,62-S27-W,-111.957746,40.637763,19.09,18.46
227,1,midday,13,152032,2700 W @ 6055 S,FALSE,,-111.957753,40.641115,30.11,29.35
227,1,midday,14,152033,2700 W @ 5901 S,FALSE,,-111.957759,40.643932,32.94,32.26
227,1,midday,15,152034,2700 W @ 5821 S,FALSE,,-111.957764,40.645248,33.63,33.63
227,1,midday,16,152035,2700 W @ 5737 S,FALSE,,-111.957764,40.646638,32.98,32.03
227,1,midday,17,152036,2700 W @ 5485 S,FALSE,,-111.957781,40.651344,13.11,12.44
227,1,midday,18,101789,2700 W @ 5283 S,TRUE,54-S27-W,-111.957745,40.655236,26.50,26.45
227,1,midday,19,101787,2700 W @ 5075 S,FALSE,,-111.957775,40.659065,37.55,37.19
227,1,midday,20,101785,2700 W @ 4791 S,FALSE,,-111.957826,40.664652,20.04,18.79
227,1,midday,21,198008,2700 W @ 4663 S,FALSE,,-111.957848,40.668455,25.66,25.20
227,1,midday,22,101783,2700 W @ 4521 S,FALSE,,-111.957843,40.670355,31.91,29.52
227,1,midday,23,101782,2700 W @ 4345 S,FALSE,STATOFFC,-111.957801,40.676332,29.42,27.44
227,1,midday,24,101781,2700 W @ 4191 S,FALSE,,-111.957847,40.680542,13.84,13.81
227,1,midday,25,135022,Constitution Blvd @ 4085 S,FALSE,,-111.957834,40.682801,25.72,24.86
227,1,midday,26,135023,Constitution Blvd @ 4031 S,FALSE,,-111.957898,40.683717,30.44,30.38
227,1,midday,27,135024,Constitution Blvd @ 3939 S,FALSE,,-111.957891,40.685802,30.46,30.41
227,1,midday,28,135025,Constitution Blvd @ 3803 S,FALSE,,-111.957885,40.689246,27.39,26.63
227,1,midday,29,101516,Constitution Blvd @ 3755 S,FALSE,,-111.957859,40.690437,9.78,1.72
227,1,midday,30,BB101594,West Valley Central Station (Bay J),TRUE,WVCNTRAX,-111.960223,40.693235,0.00,0.00
