MODE,NAMEID,NAME,OPERATOR,ONEWAY,RT_DIST,PK_PRD,OK_PRD,PK_HEADWAY,OK_HEADWAY,PK_RT_TIME,OK_RT_TIME,PK_SPEED,OK_SPEED,PK_D_BOARD,PK_W_BOARD,PK_BOARD,PK_ALIGHT,OK_D_BOARD,OK_W_BOARD,OK_BOARD,OK_ALIGHT,DY_D_BOARD,DY_W_BOARD,DY_BOARD,DY_ALIGHT,PK_VEH,OK_VEH,DY_VEH,PK_REVMI,OK_REVMI,DY_REVMI,PK_REVHR,OK_REVHR,DY_REVHR
4,36.0,OF618,0,0,9.50,6,10,30,60,30.91,30.98,18.4,18.4,13.25,115.93,129.18,129.18,8.50,117.24,125.74,125.74,21.75,233.17,254.92,254.92,2.0,1.0,2.0,114.00,95.00,209.00,12.0,10.0,22.0
4,37.0,OF620,0,1,16.30,6,10,30,60,46.83,46.07,20.9,21.2,6.32,27.28,33.60,33.60,3.60,30.92,34.52,34.52,9.92,58.20,68.12,68.12,2.0,1.0,2.0,195.60,163.00,358.60,12.0,10.0,22.0
4,38.0,OF638,0,0,13.40,6,10,60,60,37.18,37.19,21.6,21.6,0.10,31.35,31.45,31.45,0.07,40.78,40.85,40.85,0.17,72.13,72.30,72.30,1.0,1.0,1.0,80.40,134.00,214.40,6.0,10.0,16.0
4,39.0,S11,0,1,12.20,6,10,30,60,48.57,49.01,15.1,14.9,172.34,465.04,637.38,637.38,34.23,281.02,315.25,315.25,206.57,746.06,952.63,952.63,2.0,1.0,2.0,146.40,122.00,268.40,12.0,10.0,22.0
4,40.0,S17,0,0,15.42,6,10,30,30,62.90,62.60,14.7,14.8,13.68,449.92,463.60,463.60,6.54,275.40,281.94,281.94,20.22,725.32,745.54,745.54,3.0,3.0,3.0,185.04,308.40,493.44,18.0,30.0,48.0
4,41.0,S2,0,0,8.42,6,10,15,15,36.38,36.90,13.9,13.7,482.84,752.18,1235.02,1235.02,172.01,636.12,808.13,808.13,654.85,1388.30,2043.15,2043.15,3.0,3.0,3.0,202.08,336.80,538.88,18.0,30.0,48.0
4,42.0,S200,0,0,22.72,6,10,15,15,84.84,83.56,16.1,16.3,164.68,1425.08,1589.76,1589.76,65.53,1693.19,1758.72,1758.72,230.21,3118.27,3348.48,3348.48,6.0,6.0,6.0,545.28,908.80,1454.10,36.0,60.0,96.0
4,43.0,S201,0,0,19.82,6,10,30,60,72.89,71.53,16.3,16.6,50.64,241.91,292.55,292.55,4.72,200.13,204.85,204.85,55.36,442.04,497.40,497.40,3.0,2.0,3.0,237.84,198.20,436.04,18.0,20.0,38.0
4,44.0,S205,0,0,18.56,6,10,15,15,72.14,72.02,15.4,15.5,471.16,1394.45,1865.61,1865.61,173.15,1420.64,1593.79,1593.79,644.31,2815.09,3459.40,3459.40,5.0,5.0,5.0,445.44,742.40,1187.80,30.0,50.0,80.0
4,45.0,S209,0,0,27.56,6,10,15,15,104.44,103.68,15.8,15.9,216.84,1436.00,1652.84,1652.84,74.23,1549.95,1624.18,1624.18,291.07,2985.95,3277.02,3277.02,7.0,7.0,7.0,661.44,1102.40,1763.80,42.0,70.0,112.0
